Program,Branch,Specialization,Semester,Count
B.A.,NONE,NONE,SM3,105
B.ED.,NONE,NONE,SM3,312
B.SC.,NONE,NONE,SM3,144
"B.SC. HONOURS",BOTANY,NONE,SM5,2
"B.SC. HONOURS",CHEMISTRY,NONE,SM5,33
"B.SC. HONOURS","COMPUTER SCIENCE",NONE,SM5,28
"B.SC. HONOURS",MATHEMATICS,NONE,SM5,27
"B.SC. HONOURS",PHYSICS,NONE,SM5,15
"B.SC. HONOURS",ZOOLOGY,NONE,SM5,15
"B.SC. HONOURS","COGNITIVE SCIENCE",NONE,SM5,15
M.SC.,BOTANY,NONE,SM4,13
M.SC.,CHEMISTRY,NONE,SM4,14
M.SC.,MATHEMATICS,NONE,SM4,15
M.SC.,PHYSICS,NONE,SM4,5
M.SC.,ZOOLOGY,NONE,SM4,16
M.SC.,"COMPUTER SCIENCE",NONE,SM4,21
B.TECH.,ELECTRICAL,NONE,SM3,80
B.TECH.,ELECTRICAL,"COMPUTER SCIENCE",SM5,28
B.TECH.,ELECTRICAL,ELECTRONICS,SM5,17
B.TECH.,ELECTRICAL,NONE,SM5,29
B.TECH.,MECHANICAL,NONE,SM3,76
B.TECH.,ELECTRICAL,NONE,SM7,8
B.TECH.,ELECTRICAL,ELECTRONICS,SM7,10
B.TECH.,ELECTRICAL,"COMPUTER SCIENCE",SM7,59
B.TECH.,MECHANICAL,NONE,SM5,58
B.TECH.,MECHANICAL,"COMPUTER SCIENCE",SM5,7
B.TECH.,MECHANICAL,"INDUSTRIAL ENGINEERING",SM5,6
B.TECH.,MECHANICAL,NONE,SM7,40
B.TECH.,MECHANICAL,"COMPUTER SCIENCE",SM7,19
B.TECH.,MECHANICAL,"INDUSTRIAL ENGINEERING",SM7,6
B.TECH.,CIVIL,NONE,SM3,59
B.TECH.,CIVIL,NONE,SM5,36
B.TECH.,CIVIL,"ARCHITECTURAL TECHNOLOGY",SM5,2
B.TECH.,CIVIL,"COMPUTER SCIENCE",SM5,2
B.TECH.,"FOOTWEAR TECHNOLOGY",NONE,SM3,28
B.TECH.,"FOOTWEAR TECHNOLOGY",NONE,SM5,25
B.TECH.,CIVIL,NONE,SM7,35
B.TECH.,CIVIL,"COMPUTER SCIENCE",SM7,6
B.TECH.,"FOOTWEAR TECHNOLOGY",NONE,SM7,25
B.TECH.,"AGRICULTURAL ENGINEERING",NONE,SM3,44
B.TECH.,"AGRICULTURAL ENGINEERING",NONE,SM5,41
B.TECH.,"AGRICULTURAL ENGINEERING",NONE,SM7,44
B.COM.,NONE,NONE,SM3,89
M.COM.,NONE,"INTERNATIONAL BUSINESS",SM4,16
"B.A. HONOURS","DRAWING & PAINTING",NONE,SM5,4
"B.A. HONOURS",ENGLISH,NONE,SM5,10
"B.A. HONOURS",HINDI,NONE,SM5,34
"B.A. HONOURS",SANSKRIT,NONE,SM5,8
"B.A. HONOURS","B.A. HOME SCIENCE",NONE,SM5,3
"B.A. HONOURS",MUSIC,NONE,SM5,8
"B.ED. INTEGRATED",NONE,NONE,SM2,1
"B.ED. INTEGRATED",NONE,NONE,SM4,4
M.ED.,NONE,NONE,SM3,31
B.B.A.,NONE,NONE,SM3,64
"B.B.A. HONOURS",NONE,NONE,SM5,62
M.TECH.,"ENGINEERING SYSTEMS",NONE,SM4,9
M.TECH.,"ENGINEERING SYSTEMS","COMPUTER SCIENCE",SM4,13
"B.COM. HONOURS",NONE,NONE,SM5,90
"B.A. (SOCIAL SCIENCE)",NONE,NONE,SM3,83
"B.A. HONOURS (SOCIAL SCIENCE)",ECONOMICS,NONE,SM5,10
"B.A. HONOURS (SOCIAL SCIENCE)","POLITICAL SCIENCE",NONE,SM5,72
"B.A. HONOURS (SOCIAL SCIENCE)",PSYCHOLOGY,NONE,SM5,9
"B.A. HONOURS (SOCIAL SCIENCE)",SOCIOLOGY,NONE,SM5,19
"B.A. HONOURS (SOCIAL SCIENCE)","COGNITIVE SCIENCE",NONE,SM5,2
"M.A. (SOCIAL SCIENCE)","APPLIED ECONOMICS",NONE,SM4,6
"M.A. (SOCIAL SCIENCE)","POLITICAL SCIENCE",NONE,SM4,18
"M.A. (SOCIAL SCIENCE)",PSYCHOLOGY,NONE,SM4,10
"M.A. (SOCIAL SCIENCE)",SOCIOLOGY,NONE,SM4,15
"B.SC. HONOURS (HOME SCIENCE)",NONE,NONE,SM5,10
M.A.,ENGLISH,NONE,SM4,11
M.A.,HINDI,NONE,SM4,11
M.A.,"SANSKRIT & CULTURE",NONE,SM4,3
M.A.,MUSIC,NONE,SM4,8
"M.SC. HOME SCIENCE",NONE,NONE,SM4,4
"M.TECH. (INTEGRATED)","ENGINEERING SYSTEMS",NONE,SM4,2
"M.TECH. (PART TIME)","ENGINEERING SYSTEMS",NONE,SM4,7
"M.TECH. (PART TIME)","ENGINEERING SYSTEMS",NONE,SM6,8
"M.TECH. (PART TIME)","ENGINEERING SYSTEMS",NONE,SM8,8
"M.SC. INTEGRATED","COMPUTER SCIENCE",NONE,SM4,5
"B.TECH. (PART TIME)",ELECTRICAL,NONE,SM3,25
"B.TECH. (PART TIME)",ELECTRICAL,NONE,SM5,21
"B.TECH. (PART TIME)",ELECTRICAL,NONE,SM7,10
"B.TECH. (PART TIME)",ELECTRICAL,NONE,SM9,19
B.VOC.,AUTOMOBILE,NONE,SM3,42
B.VOC.,TEXTILE,NONE,SM3,36
B.VOC.,AUTOMOBILE,NONE,SM5,40
B.VOC.,"RENEWABLE ENERGY",NONE,SM3,33
B.VOC.,"DAIRY TECHNOLOGY",NONE,SM3,21
B.VOC.,"FOOD PROCESSING",NONE,SM3,24
B.VOC.,"APPAREL DESIGN",NONE,SM3,22
B.VOC.,"APPAREL DESIGN",NONE,SM5,27
B.VOC.,"FOOD PROCESSING",NONE,SM5,13
B.VOC.,"DAIRY TECHNOLOGY",NONE,SM5,40
B.VOC.,TEXTILE,NONE,SM5,24
B.VOC.,"WATER, SANITATION AND WASTE MANAGEMENT",NONE,SM3,9
B.VOC.,"RENEWABLE ENERGY",NONE,SM5,29
B.VOC.,"WATER, SANITATION AND WASTE MANAGEMENT",NONE,SM5,22
B.VOC.,"AGRICULTURE TECHNOLOGY",NONE,SM3,21
B.VOC.,"INTERNET OF THINGS",NONE,SM3,43
B.VOC.,"AGRICULTURE TECHNOLOGY",NONE,SM5,26
B.VOC.,"BANKING AND FINANCE",NONE,SM3,42
B.VOC.,"ACCOUNTING AND TAXATION",NONE,SM3,40
B.VOC.,"DIGITAL MANUFACTURING",NONE,SM3,8
B.VOC.,"TOURISM AND HOSPITALITY MANAGEMENT",NONE,SM3,40
B.VOC.,"AI & ROBOTICS",NONE,SM3,46
B.VOC.,TELEMATICS,NONE,SM3,20
B.VOC.,"INTERNET OF THINGS",NONE,SM5,38
B.VOC.,TELECOMMUNICATION,NONE,SM3,22
B.VOC.,"ACCOUNTING AND TAXATION",NONE,SM5,48
B.VOC.,"BANKING AND FINANCE",NONE,SM5,46
B.VOC.,"AI & ROBOTICS",NONE,SM5,47
B.VOC.,TELEMATICS,NONE,SM5,16
B.VOC.,"TOURISM AND HOSPITALITY MANAGEMENT",NONE,SM5,32
